1RXS J0603.3+4212   1RXSJ0603 06 03 13.4 +42 12 31 0.226 Radio
Abell 115           A115      00 55 59.5 +26 19 14 0.193 Optical
Abell 521           A521      04 54 08.6 -10 14 39 0.247 Optical
Abell 523           A523      04 59 01.0 +08 46 30 0.104 Optical
Abell 746           A746      09 09 37.0 +51 32 48 0.214 Optical
Abell 781           A781      09 20 23.2 +30 26 15 0.297 Optical
Abell 1240          A1240     11 23 31.9 +43 06 29 0.195 Optical
Abell 1300          A1300     11 32 00.7 -19 53 34 0.306 Optical
Abell 1612          A1612     12 47 43.2 -02 47 32 0.182 Optical
Abell 2034          A2034     15 10 10.8 +33 30 22 0.114 Optical
Abell 2061          A2061     15 21 20.6 +30 40 15 0.078 Optical
Abell 2163          A2163     16 15 34.1 -06 07 26 0.201 Optical
Abell 2255          A2255     17 12 50.0 +64 03 11 0.080 Optical
Abell 2345          A2345     21 27 09.8 -12 09 59 0.179 Optical
Abell 2443          A2443     22 26 02.6 +17 22 41 0.110 Optical
Abell 2744          A2744     00 14 18.9 -30 23 22 0.306 Optical
Abell 3365          A3365     05 48 12.0 -21 56 06 0.093 Optical
Abell 3411          A3411     08 41 54.7 -17 29 05 0.163 Optical
CIZA J2242.8+5301   CIZAJ2242 22 42 51.0 +53 01 24 0.189 X-ray
MACS J1149.5+2223   MACSJ1149 11 49 35.8 +22 23 55 0.544 X-ray
MACS J1752.0+4440   MACSJ1752 17 52 01.6 +44 40 46 0.365 X-ray
PLCKESZ G287.0+32.9 PLCKG287  11 50 49.2 -28 04 37 0.383 SZ
PSZ1 G108.18-11.53  PSZ1G108  23 22 29.7 +48 46 30 0.335 SZ
RXC J1053.7+5452    RXCJ1053  10 53 44.4 +54 52 21 0.072 X-ray
RXC J1314.4-2515    RXCJ1314  13 14 23.7 -25 15 21 0.247 X-ray
ZwCl 0008.8+5215    ZwCl0008  00 08 25.6 +52 31 41 0.104 Optical
ZwCl 1447+2619      ZwCl1447  14 49 28.2 +26 07 57 0.376 Optical
ZwCl 1856.8+6616    ZwCl1856  18 56 41.3 +66 21 56 0.304 Optical
ZwCl 2341+0000      ZwCl2341  23 43 39.7 +00 16 39 0.270 Optical
