timestamp,frequency_Hz,imbalance_MW
2026-02-21 00:00:00,50.025,368.317
2026-02-21 00:01:00,50.007999999999996,433.991
2026-02-21 00:02:00,50.016,439.126
2026-02-21 00:03:00,50.023,343.086
2026-02-21 00:04:00,50.025,209.617
2026-02-21 00:05:00,50.013,-150.2
2026-02-21 00:06:00,49.974000000000004,128.5
2026-02-21 00:07:00,50.01,-74.3
2026-02-21 00:08:00,50.041,392.317
2026-02-21 00:09:00,50.024,457.991
2026-02-21 00:10:00,50.032,463.126
2026-02-21 00:11:00,50.039,334.086
2026-02-21 00:12:00,50.041000000000004,200.617
2026-02-21 00:13:00,50.028999999999996,-159.2
2026-02-21 00:14:00,49.99,119.5
2026-02-21 00:15:00,50.026,-83.3
2026-02-21 00:16:00,50.056999999999995,383.317
2026-02-21 00:17:00,50.006,448.991
2026-02-21 00:18:00,50.013999999999996,454.126
2026-02-21 00:19:00,50.021,358.086
2026-02-21 00:20:00,50.023,224.617
2026-02-21 00:21:00,50.010999999999996,-135.2
2026-02-21 00:22:00,49.972,110.5
2026-02-21 00:23:00,50.008,-92.3
2026-02-21 00:24:00,50.038999999999994,374.317
2026-02-21 00:25:00,50.022,439.991
2026-02-21 00:26:00,50.03,445.126
2026-02-21 00:27:00,50.037,349.086
2026-02-21 00:28:00,50.039,215.617
2026-02-21 00:29:00,50.027,-144.2
2026-02-21 00:30:00,49.988,134.5
2026-02-21 00:31:00,50.024,-68.3
2026-02-21 00:32:00,50.055,398.317
2026-02-21 00:33:00,50.038,430.991
2026-02-21 00:34:00,50.012,436.126
2026-02-21 00:35:00,50.019,340.086
2026-02-21 00:36:00,50.021,206.617
2026-02-21 00:37:00,50.009,-153.2
2026-02-21 00:38:00,49.97,125.5
2026-02-21 00:39:00,50.006,-77.3
2026-02-21 00:40:00,50.037,389.317
2026-02-21 00:41:00,50.019999999999996,454.991
2026-02-21 00:42:00,50.028,460.126
2026-02-21 00:43:00,50.035000000000004,364.086
2026-02-21 00:44:00,50.037,197.617
2026-02-21 00:45:00,50.025,-162.2
2026-02-21 00:46:00,49.986000000000004,116.5
2026-02-21 00:47:00,50.022,-86.3
2026-02-21 00:48:00,50.053,380.317
2026-02-21 00:49:00,50.036,445.991
2026-02-21 00:50:00,50.044,451.126
2026-02-21 00:51:00,50.017,355.086
2026-02-21 00:52:00,50.019,221.617
2026-02-21 00:53:00,50.007,-138.2
2026-02-21 00:54:00,49.968,140.5
2026-02-21 00:55:00,50.004,-95.3
2026-02-21 00:56:00,50.035,371.317
2026-02-21 00:57:00,50.018,436.991
2026-02-21 00:58:00,50.025999999999996,442.126
2026-02-21 00:59:00,50.033,346.086
2026-02-21 01:00:00,50.035000000000004,212.617
2026-02-21 01:01:00,50.022999999999996,-147.2
2026-02-21 01:02:00,49.984,131.5
2026-02-21 01:03:00,50.02,-71.3
2026-02-21 01:04:00,50.050999999999995,395.317
2026-02-21 01:05:00,50.034,460.991
2026-02-21 01:06:00,50.042,433.126
2026-02-21 01:07:00,50.049,337.086
2026-02-21 01:08:00,50.017,203.617
2026-02-21 01:09:00,50.004999999999995,-156.2
2026-02-21 01:10:00,49.966,122.5
2026-02-21 01:11:00,50.002,-80.3
2026-02-21 01:12:00,50.032999999999994,386.317
2026-02-21 01:13:00,50.016,451.991
2026-02-21 01:14:00,50.024,457.126
2026-02-21 01:15:00,50.031,361.086
2026-02-21 01:16:00,50.033,227.617
2026-02-21 01:17:00,50.021,-165.2
2026-02-21 01:18:00,49.982,113.5
2026-02-21 01:19:00,50.018,-89.3
2026-02-21 01:20:00,50.049,377.317
2026-02-21 01:21:00,50.032,442.991
2026-02-21 01:22:00,50.04,448.126
2026-02-21 01:23:00,50.047000000000004,352.086
2026-02-21 01:24:00,50.049,218.617
2026-02-21 01:25:00,50.003,-141.2
2026-02-21 01:26:00,49.964,137.5
2026-02-21 01:27:00,50.0,-65.3
2026-02-21 01:28:00,50.031,368.317
2026-02-21 01:29:00,50.013999999999996,433.991
2026-02-21 01:30:00,50.022,439.126
2026-02-21 01:31:00,50.029,343.086
2026-02-21 01:32:00,50.031,209.617
2026-02-21 01:33:00,50.019,-150.2
2026-02-21 01:34:00,49.980000000000004,128.5
2026-02-21 01:35:00,50.016,-74.3
2026-02-21 01:36:00,50.047,392.317
2026-02-21 01:37:00,50.03,457.991
2026-02-21 01:38:00,50.038,463.126
2026-02-21 01:39:00,50.045,334.086
